price,accommodates,bedrooms,beds,bathrooms,guests_included,reviews_per_month,number_of_reviews,host_listings_count,longitude,latitude
85.0,4,1.0,1.0,1.0,2,4.07,207,3.0,-9180526.706365084,5302871.695749922
150.0,4,1.0,1.0,1.0,1,1.48,43,6.0,-9180124.682969097,5303187.1858700765
975.0,11,5.0,7.0,4.5,10,1.15,20,2.0,-9180411.020517098,5302140.890327191
450.0,6,3.0,3.0,2.0,6,0.89,38,2.0,-9180635.145808384,5302496.476596049
120.0,2,1.0,1.0,1.0,1,2.45,17,1.0,-9180162.764227519,5302230.096700983
80.0,2,1.0,1.0,1.0,1,2.46,58,1.0,-9180338.690458601,5302906.918173029
60.0,2,1.0,1.0,1.0,1,4.73,173,5.0,-9180889.121360369,5303302.671448017
90.0,2,1.0,1.0,1.0,1,1.22,8,1.0,-9179490.7168877,5302439.9145769635
150.0,4,1.0,1.0,1.0,1,1.55,32,6.0,-9180216.369421724,5303005.578295589
95.0,2,1.0,1.0,1.0,2,3.33,181,1.0,-9179585.371659959,5302781.823780219
99.0,2,1.0,1.0,1.0,1,0.98,8,1.0,-9179703.006238488,5302974.670844096
245.0,4,2.0,3.0,1.0,1,0.92,13,1.0,-9180687.670090728,5302788.92634156
165.0,5,2.0,3.0,1.0,4,3.0,3,1.0,-9180271.938700117,5302116.698003963
461.0,16,6.0,15.0,3.5,8,2.65,18,1.0,-9180139.40808552,5303196.03961194
109.0,5,2.0,2.0,1.0,1,0.73,1,1.0,-9180666.819432016,5302800.535005582
66.0,2,1.0,1.0,1.0,1,4.55,84,1.0,-9180194.863241268,5301748.625613317
99.0,2,1.0,1.0,1.0,1,4.58,45,1.0,-9180630.28849994,5303356.698892333
700.0,10,5.0,5.0,3.5,1,0.82,5,1.0,-9179601.563973727,5302842.278129039
110.0,1,1.0,1.0,1.0,1,1.0,1,1.0,-9180071.58670772,5301942.318440897
99.0,3,1.0,2.0,1.5,1,0.71,11,1.0,-9179777.103415988,5302881.182872429
450.0,8,4.0,4.0,2.0,1,0.86,1,1.0,-9179615.616129253,5302798.579195703
600.0,5,3.0,3.0,2.5,1,0.18,1,1.0,-9180418.361973383,5303119.680394272
450.0,8,3.0,5.0,2.5,6,1.3,8,2.0,-9180282.259780647,5302327.15246577
45.0,2,1.0,1.0,1.0,1,4.38,80,5.0,-9180804.333842773,5303203.093375449
300.0,6,3.0,3.0,2.0,1,2.47,6,5.0,-9180370.880910149,5302161.260165519
80.0,3,1.0,2.0,1.0,3,0.33,4,1.0,-9180775.274227671,5303264.302452003
